round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
CTWin,22350,26600,Full Buy,Full Buy,2,4,False
CTWin,8250,26200,Force Buy,Full Buy,3,4,False
TWin,29400,27450,Full Buy,Full Buy,3,5,True
CTWin,28700,23100,Full Buy,Full Buy,4,5,False
BombDefused,27200,23100,Full Buy,Full Buy,5,5,True
CTWin,29150,9550,Full Buy,Force Buy,6,5,False
BombDefused,30050,19300,Full Buy,Half Buy,5,7,True
TWin,13750,32250,Half Buy,Full Buy,5,8,True
TargetBombed,3800,4450,Eco,Eco,5,9,True
CTWin,11000,15050,Half Buy,Half Buy,6,9,False
CTWin,18050,22350,Half Buy,Full Buy,7,9,False
CTWin,27300,11000,Full Buy,Half Buy,8,9,False
TargetBombed,27700,1000,Full Buy,Eco,8,10,True
TargetBombed,27800,23200,Full Buy,Full Buy,8,11,True
CTWin,30550,25400,Full Buy,Full Buy,9,11,False
CTWin,24500,23350,Full Buy,Full Buy,10,11,False
CTWin,28000,14150,Full Buy,Half Buy,11,11,False
TargetBombed,27900,1000,Full Buy,Eco,11,12,True
TWin,28600,23200,Full Buy,Full Buy,11,13,False
TWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
CTWin,4700,1000,Eco,Eco,1,0,False
CTWin,4500,4400,Eco,Eco,2,0,False
TargetBombed,20050,1100,Full Buy,Eco,2,1,True
CTWin,22950,22150,Full Buy,Full Buy,3,1,False
TargetSaved,25100,23750,Full Buy,Full Buy,4,1,False
CTWin,30150,24400,Full Buy,Full Buy,5,1,False
CTWin,30350,2250,Full Buy,Eco,6,1,False
CTWin,31250,23800,Full Buy,Full Buy,7,1,False
CTWin,28900,7950,Full Buy,Force Buy,8,1,False
CTWin,29800,26400,Full Buy,Full Buy,9,1,False
CTWin,31650,20050,Full Buy,Full Buy,10,1,False
CTWin,31550,12450,Full Buy,Half Buy,1,11,False
TWin,22750,32550,Full Buy,Full Buy,1,12,True
TWin,4000,4300,Eco,Eco,1,13,False
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TWin,1000,9400,Eco,Force Buy,0,1,True
TWin,4300,4450,Eco,Eco,0,2,True
TWin,10000,15100,Half Buy,Half Buy,0,3,True
TargetBombed,1300,21200,Eco,Full Buy,0,4,True
TWin,27250,21700,Full Buy,Full Buy,0,5,False
